Numar Jonctiune,Cluster 1,Cluster 2,Distanta,Frecventa
0,9.0,30.0,0.28448400867993867,2.0
1,1.0,5.0,0.36950260852658645,2.0
2,36.0,61.0,0.4000025498093678,2.0
3,41.0,43.0,0.459320386387413,2.0
4,7.0,46.0,0.46039151173352805,2.0
5,3.0,23.0,0.49149275020704236,2.0
6,2.0,51.0,0.573450766649865,2.0
7,29.0,55.0,0.5877414489296542,2.0
8,12.0,54.0,0.6046053860895501,2.0
9,15.0,19.0,0.6079693975962048,2.0
10,16.0,48.0,0.6160476030886213,2.0
11,32.0,65.0,0.6309205309970828,2.0
12,4.0,21.0,0.6309533944481697,2.0
13,66.0,67.0,0.7013135141511743,2.0
14,39.0,73.0,0.7535523742829013,2.0
15,56.0,63.0,0.7865073739350972,2.0
16,17.0,53.0,0.7948156410857132,2.0
17,28.0,83.0,0.8058772597319884,3.0
18,72.0,77.0,0.8349741260663839,3.0
19,64.0,89.0,0.8820740238813645,3.0
20,25.0,93.0,0.9113762518166948,3.0
21,33.0,85.0,0.9176184269137467,3.0
22,87.0,90.0,0.9318644934305617,4.0
23,60.0,71.0,0.9369026592219466,2.0
24,78.0,80.0,0.9402784791043657,4.0
25,10.0,13.0,0.9987695853023412,2.0
26,14.0,91.0,1.0049705759250753,3.0
27,59.0,81.0,1.0122317469410338,3.0
28,44.0,79.0,1.037495770398296,3.0
29,0.0,22.0,1.0675610048565891,2.0
30,52.0,98.0,1.0756215451734108,4.0
31,57.0,95.0,1.0831077372774198,4.0
32,82.0,94.0,1.1229827117573548,5.0
33,20.0,99.0,1.1817967471655293,5.0
34,42.0,88.0,1.2879224877520774,3.0
35,35.0,47.0,1.3211797981746458,2.0
36,92.0,103.0,1.3738917411485665,5.0
37,38.0,100.0,1.4296689553633481,3.0
38,45.0,70.0,1.469528880220682,2.0
39,86.0,109.0,1.4732935055112935,7.0
40,11.0,62.0,1.4810704666035737,2.0
41,75.0,84.0,1.4811467984390747,3.0
42,104.0,105.0,1.5005737807447146,6.0
43,18.0,102.0,1.5119880613752459,3.0
44,108.0,116.0,1.6773751460462432,11.0
45,40.0,96.0,1.6887879199124873,4.0
46,8.0,97.0,1.7586433198991105,4.0
47,68.0,119.0,1.7603351518953383,7.0
48,101.0,107.0,1.9208925196635227,8.0
49,34.0,122.0,1.948526367630976,5.0
50,106.0,118.0,1.9976493437499054,5.0
51,24.0,69.0,2.0188402605283082,2.0
52,120.0,125.0,2.189806300025543,11.0
53,31.0,121.0,2.244030606795911,12.0
54,76.0,111.0,2.289783448918613,4.0
55,49.0,50.0,2.3111876779848806,2.0
56,74.0,115.0,2.317083718912326,3.0
57,114.0,127.0,2.391915947715554,8.0
58,27.0,113.0,2.402433873812732,6.0
59,126.0,135.0,2.808130914480329,11.0
60,117.0,130.0,2.8915869116734765,14.0
61,112.0,123.0,2.893796396255475,6.0
62,26.0,128.0,3.317034123967851,3.0
63,124.0,133.0,3.3408110779756637,10.0
64,110.0,137.0,3.5157850248530096,19.0
65,129.0,138.0,3.6363898656164433,17.0
66,131.0,139.0,4.182305833253425,7.0
67,6.0,58.0,4.377833985087339,2.0
68,136.0,140.0,4.516865867416413,21.0
69,134.0,142.0,6.895864094997672,25.0
70,132.0,144.0,7.003450499957004,4.0
71,143.0,145.0,7.292776063163913,28.0
72,37.0,148.0,7.45847475366092,29.0
73,141.0,149.0,8.194446276468591,48.0
74,146.0,147.0,12.622306458203598,29.0
75,150.0,151.0,15.962657834455413,77.0
